batch_id	rank	source	conversation_id	title	score	subsystem	extraction_file	status	chars_extracted	messages	key_conflicts	canonical_candidates_count	follow_up_targets
P0_BATCH_04	31	openai	69ac899e-f9b4-832b-bd98-e01453a90e63	Eye Tracking Explained	86	Attention	031_eye_tracking_explained.md	complete	33000	20	MediaPipe vs TF.js layered; pairs with 039 server spec	4	cross-check src/vision scaffold in repo
P0_BATCH_04	32	claude	74a8e0c3-5a6b-42f8-96ac-a6d423fcde9d	Comprehensive social media app development	85	Demo	032_comprehensive_social_media_app_development.md	complete	3100	8	duplicate of 037; Vicoin/Icoin; 5-screen vs 4-tab	2	locate Claude artifact export
P0_BATCH_04	33	openai	69edacd9-25f4-83ea-99fb-4b2d0f0f6909	eCoin Development Blueprint	85	Economy	033_ecoin_development_blueprint.md	complete	41000	6	eCoin aligns SoT; rCoin hub refs; post-MVP letters	4	reconcile with 023 aCoin gate
P0_BATCH_04	34	openai	69edab01-0480-83ea-b184-b4f362bab71b	wCoin Development Framework	85	Economy	034_wcoin_development_framework.md	complete	61000	6	wCoin post-MVP; overlaps gCoin-Go GPS	4	owner W letter scope lock
P0_BATCH_04	35	openai	67fc36ec-599c-8008-8c1f-c7058c571483	i App Development Roadmap	84	Tech Architecture	035_i_app_development_roadmap.md	complete	17000	2	Flutter/Firebase obsolete; 5-screen; Vicoin/Icoin	2	search Flutter i_app repos
P0_BATCH_04	36	claude	e35cf90d-d746-4283-8e1c-b95e971fcd4e	Turning scattered project attempts into a cohesive vision	81	Source of Truth	036_turning_scattered_project_attempts_into_a_cohesive_vision.md	complete	11000	8	26-coin vs SoT 5; build order vs glass demo 030	4	verify build-log.md exists
P0_BATCH_04	37	claude	c8abb718-4938-4574-a767-4e0ef14134ea	App development request	79	Demo	037_app_development_request.md	complete	4200	2	duplicate 032; eye-tracking simulation only	2	locate i-app.jsx
P0_BATCH_04	38	claude	f20c520a-c6e9-4597-84d0-e2d738eff9bb	Document analysis request	79	UX	038_document_analysis_request.md	complete	2200	6	4-tab aligns 014; streak conflict 012; soft depth vs glass	4	locate HTML prototype
P0_BATCH_04	39	openai	699979ee-0088-832b-af86-a1249c2016e4	Eye-Tracking and Facial Control	77	Attention	039_eye_tracking_and_facial_control.md	complete	150000	67	session bypass YES; ACS model; Vicoin/Icoin audit	8	re-run audit vs current repo
P0_BATCH_04	40	openai	69eda334-7698-83ea-a910-d93850d33f8b	gCoin Development Guide	77	Economy	040_gcoin_development_guide.md	complete	61000	14	G=Go/Growth vs G=Governance; post-MVP	5	extract prior Go-coins chat; update 028 G
