batch_id	rank	source	conversation_id	title	score	subsystem	extraction_file	status	chars_extracted	messages	key_conflicts	canonical_candidates_count	follow_up_targets
P0_BATCH_02	11	claude	9f29c850-82bd-4354-9014-f02ba00f89eb	Application development masterplan and stages	135	Source of Truth	011_application_development_masterplan.md	complete	449429	108	neumorphic prompt vs glass; 5 demo URLs; Expo vs Vite	4	masterplan artifact body; verify deployments
P0_BATCH_02	12	claude	185d9905-0b1e-404e-8f65-affc334854ba	Removing the streak bar feature	135	Economy	012_removing_streak_bar_feature.md	complete	218203	53	streak remove vs re-add; FLUX IA vs 4-tab; command center GTM	2	streak source file; FLUX vs canonical demo
P0_BATCH_02	13	claude	aff2fc4c-50d7-4cff-9fc2-b3404e138a03	Using multiple skills and repos together in Claude	130	Economy	013_using_multiple_skills_and_repos.md	complete	32455	10	Vicoin/Icoin vs SoT; overlaps 009 brief	4	confirm ultrathinking run output
P0_BATCH_02	14	openai	69b4d658-8874-8333-aa87-4ac20502409c	UX/UI Strategy Separation	129	Economy	014_ux_ui_strategy_separation.md	complete	13630	12	Vicoin/Icoin; Flutter vs Vite; instant vs pending demo	6	Flutter repo alignment; MVP flow map
P0_BATCH_02	15	claude	729c0fa9-5ad8-4de7-8056-1e8979f5b3d2	Eye-tracking attention interface for verified engagement	125	Economy	015_eye_tracking_attention_interface.md	complete	133991	24	A-Z coins vs 5-coin MVP; AI remote control experimental	4	engine files on disk; map to POPS
P0_BATCH_02	16	claude	0e73a9cf-2e5d-43e5-9667-b8112fafecc3	Complete fintech app artifact with wallet interface	123	Economy	016_fintech_wallet_artifact.md	complete	421120	58	streak re-add; warm vs cool design; Vicoin naming	4	Netlify deploy verify; compare i-app.jsx
P0_BATCH_02	17	claude	a26669ba-ca17-4979-b30e-116280b3263b	Eye-tracking system audit and integration review	119	Economy	017_eye_tracking_system_audit.md	complete	454542	126	Expo vs flutter-runtime; partial reward; platform parity	4	owner partial-reward decision; device test
P0_BATCH_02	18	claude	090c9ca2-83c2-46d7-ad31-d08d7d5027ce	UX/UI design principles	117	Economy	018_ux_ui_design_principles.md	complete	169977	49	teal glass vs void black; export noise	3	brand kit hex lock
P0_BATCH_02	19	claude	b7fa1669-4b75-4ea0-9389-5fba86f96fa2	Clarification needed	113	Economy	019_clarification_needed_owner_review.md	complete	927	2	no new decisions; Vicoin/Icoin recap only	1	owner clarify confusion topic
P0_BATCH_02	20	openai	69edaab5-6658-83ea-b5be-e16620c253b2	vCoin Development Guide	109	Economy	020_vcoin_development_guide.md	complete	49246	29	vCoin role vs SoT utility; vs Vicoin chat; rcoins hub	4	extract aCoin/iCoin/Alphabet P0 threads
