batch_id	rank	source	conversation_id	title	score	subsystem	extraction_file	status	chars_extracted	messages	key_conflicts	canonical_candidates_count	follow_up_targets
P0_BATCH_01	1	claude	f7ba2d60-acf4-45c2-850a-5ff8b29eb064	Complete app feature breakdown and specifications	237	Economy	001_complete_app_feature_breakdown.md	complete	128123	144	coin naming; build order vs SoT	4	15-section body; 5 MD files location
P0_BATCH_01	2	claude	92aa5e9e-5852-4056-873f-2955dfd2651f	Building investor demo screens	201	Economy	002_building_investor_demo_screens.md	complete	2900	4	instant credit vs pending wallet	4	deployed artifact match
P0_BATCH_01	3	claude	ada911f5-d2c0-4aa9-8c7f-25f660c73b0b	Camera-based gaze tracking with attention scoring	181	Economy	003_camera_based_gaze_tracking.md	complete	26183	15	design v1 vs v2; demo eye scope	5	HANDOFF.md; design-system-v2
P0_BATCH_01	4	claude	80be7e6b-edf4-4960-9036-9890328056e0	Multi-platform format pros and cons	175	Economy	004_multi_platform_format_pros_cons.md	complete	15126	9	aggregator GTM vs SoT; xCoins	4	legal import framework
P0_BATCH_01	5	claude	657f7995-bf8a-4ebd-8d9a-f95c1a0acbff	Continuing a previous conversation	173	Source of Truth	005_continuing_previous_conversation.md	complete	10581	8	26-coin demo; HTML vs Vite fork	4	masterplan conv 9f29c850
P0_BATCH_01	6	claude	ee00baba-61d4-4c11-83f4-42f1b8bb99a8	Vite React TypeScript Tailwind project shell	169	Economy	006_vite_react_typescript_tailwind_shell.md	complete	154642	45	title vs HTML output; dark vs v2 design	4	phase HTML files in IVAULT
P0_BATCH_01	7	claude	8c47af33-8c6a-49fd-b2af-08dfbb599bfa	Expanding iapp currency ecosystem with alphabetic coin types	159	Economy	007_expanding_currency_ecosystem.md	complete	43856	65	26-coin vs 5-coin; ucoins/vCoins; rcoins hub	8	OpenAI coin P0 threads
P0_BATCH_01	8	claude	dca5ea92-3421-4610-aea6-2e377315ab70	Continuing development with mockup assets	157	Economy	008_development_with_mockup_assets.md	complete	1022	2	incomplete integration	1	flutter assets inventory
P0_BATCH_01	9	claude	660aefa0-4a8e-48c9-a6a6-43a87c816d9f	Attention wallet and media marketplace product brief	147	Economy	009_attention_wallet_media_marketplace_brief.md	complete	4748	5	Vicoin/Icoin vs canonical names	5	SoT provenance check
P0_BATCH_01	10	claude	85d7df7a-0431-4015-89a0-853cb7ee6088	Dual-model AI workflow for app development	141	Economy	010_dual_model_ai_workflow.md	complete	52340	40	Lovable iView rejected; naming in template	4	Lovable index cross-ref
